crop_code,internal_id,name,county,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
OTHTRK,DAP121,Veale Tract,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP121,Veale Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PRTOM,DAP121,Veale Tract,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
CORN,DAP122,Venice Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP122,Venice Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ALFAL,DAP123,Victoria Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP123,Victoria Island,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP123,Victoria Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP123,Victoria Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP123,Victoria Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP123,Victoria Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
VINE,DAP123,Victoria Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
CORN,DAP124,Walnut Grove,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
GRAIN,DAP124,Walnut Grove,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP124,Walnut Grove,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
PRTOM,DAP124,Walnut Grove,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP124,Walnut Grove,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP124,Walnut Grove,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP125,Walthall,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP125,Walthall,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP125,Walthall,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP125,Walthall,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP125,Walthall,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP125,Walthall,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP125,Walthall,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP125,Walthall,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP125,Walthall,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP125,Walthall,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP125,Walthall,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
CORN,DAP126,Webb Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
PASTR,DAP126,Webb Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
ALFAL,DAP127,West Sacramento,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
CORN,DAP127,West Sacramento,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
CUCUR,DAP127,West Sacramento,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
GRAIN,DAP127,West Sacramento,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
ONGAR,DAP127,West Sacramento,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
OTHDEC,DAP127,West Sacramento,Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
OTHFLD,DAP127,West Sacramento,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
OTHTRK,DAP127,West Sacramento,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
PASTR,DAP127,West Sacramento,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
PRTOM,DAP127,West Sacramento,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
RICE,DAP127,West Sacramento,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
SAFLR,DAP127,West Sacramento,Yolo,4.0E-07,9.5E-01,3.5E-06,1.5E+00,1.3E+00
VINE,DAP127,West Sacramento,Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
CORN,DAP130,Woodward Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP130,Woodward Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SAFLR,DAP130,Woodward Island,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP131,Wright-Elmwood Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP131,Wright-Elmwood Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP131,Wright-Elmwood Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP131,Wright-Elmwood Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP131,Wright-Elmwood Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SAFLR,DAP131,Wright-Elmwood Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP131,Wright-Elmwood Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP132,Yolano,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
ALPIS,DAP132,Yolano,Solano,1.6E-05,6.6E-01,2.1E-05,1.5E+00,9.9E-01
CORN,DAP132,Yolano,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
CUCUR,DAP132,Yolano,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
DRYBN,DAP132,Yolano,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP132,Yolano,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
OTHDEC,DAP132,Yolano,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
OTHFLD,DAP132,Yolano,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
OTHTRK,DAP132,Yolano,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
PASTR,DAP132,Yolano,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
PRTOM,DAP132,Yolano,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
SUBTRP,DAP132,Yolano,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
